Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance
20,Bautista,Mark ,2/12/1991,Quirino,683-725-348,49-1647342-5,399665157135,273-970-941-000,399665157135,Regular,Account Rank and File,Mata Christian,23250,1500,500,500
21,Lazaro,Darlene ,11/25/1985,Quirino,740-721-558,45-5617168-2,606386917510,354-650-951-000,606386917510,Probationary,Account Rank and File,Mata Christian,23250,1500,500,500
22,Delos Santos,Kolby ,2/26/1980,Zamboanga del Sur,739-443-033,52-0109570-6,357451271274,187-500-345-000,357451271274,Probationary,Account Rank and File,Mata Christian,24000,1500,500,500
23,Santos,Vella ,12/31/1983,Lanao del Sur,955-879-269,52-9883524-3,548670482885,101-558-994-000,548670482885,Probationary,Account Rank and File,Mata Christian,22500,1500,500,500
24,Del Rosario,Tomas,12/18/1978,Marinduque,882-550-989,45-5866331-6,953901539995,560-735-732-000,953901539995,Probationary,Account Rank and File,Mata Christian,22500,1500,500,500
25,Tolentino,Jacklyn ,5/19/1984,Ifugao,675-757-366,47-1692793-0,753800654114,841-177-857-000,753800654114,Probationary,Account Rank and File,De Leon Selena,24000,1500,500,500
26,Gutierrez,Percival ,12/18/1970,Davao del Sur,512-899-876,40-9504657-8,797639382265,502-995-671-000,797639382265,Probationary,Account Rank and File,De Leon Selena,24750,1500,500,500
27,Manalaysay,Garfield ,8/28/1986,Lanao del Sur,948-628-136,45-3298166-4,810909286264,336-676-445-000,810909286264,Probationary,Account Rank and File,De Leon Selena,24750,1500,500,500
28,Villegas,Lizeth ,12/12/1981,Dinagat Islands,332-372-215,40-2400719-4,934389652994,210-395-397-000,934389652994,Probationary,Account Rank and File,De Leon Selena,24000,1500,500,500
29,Ramos,Carol ,8/20/1978,Iloilo,250-700-389,60-1152206-4,351830469744,395-032-717-000,351830469744,Probationary,Account Rank and File,De Leon Selena,22500,1500,500,500
30,Maceda,Emelia ,4/14/1973,Nueva Ecija,973-358-041,54-1331005-0,465087894112,215-973-013-000,465087894112,Probationary,Account Rank and File,De Leon Selena,22500,1500,500,500
31,Aguilar,Delia ,1/27/1989,Cotabato,529-705-439,52-1859253-1,136451303068,599-312-588-000,136451303068,Probationary,Account Rank and File,De Leon Selena,22500,1500,500,500
32,Castro,John Rafael,2/9/1992,Liloan Cebu,332-424-955 ,26-7145133-4,601644902402,404-768-309-000,601644902402,Regular,Sales & Marketing,Reyes Isabella,52670,1500,1000,1000
33,Martinez,Carlos Ian,11/16/1990,Camalaniugan,078-854-208,11-5062972-7,380685387212,256-436-296-000,380685387212,Regular,Supply Chain and Logistics,Reyes Isabella,52670,1500,1000,1000
34,Santos,Beatriz,8/7/1990,Metro Manila,526-639-511,20-2987501-5,918460050077,911-529-713-000,918460050077,Regular,Customer Service and Relations,Reyes Isabella,52670,1500,1000,1000
